theater_code,theater_name,theater_city_state,city,state_abbr,demographics_status,population,median_household_income,median_age,pct_white_alone,pct_black_alone,pct_asian_alone,pct_hispanic_latino,pct_bachelors_degree,pct_below_poverty,matched_place_name,source
APPL,Apple Cinemas White Plains IMAX City Center,"White Plains, NY",White Plains,NY,matched,59818,115586,41.5,48.59,12.41,8.54,32.89,24.48,10.92,"White Plains city, New York",US Census ACS5 2023
LOOK,Look Cinemas Dobbs Ferry,"Dobbs Ferry, NY",Dobbs Ferry,NY,matched,11397,167927,40.2,71.73,3.24,10.37,12.18,27.3,6.07,"Dobbs Ferry village, New York",US Census ACS5 2023
AMC,AMC Roosevelt Field 8,"Garden City, NY",Garden City,NY,matched,22866,228807,41.6,87.01,1.27,4.6,6.59,37.42,2.83,"Garden City village, New York",US Census ACS5 2023
REG,Regal UA Cortlandt Town Center,"Mohegan Lake, NY",Mohegan Lake,NY,matched,5566,160741,41.8,71.54,8.1,3.16,21.99,31.15,5.59,"Lake Mohegan CDP, New York",US Census ACS5 2023
BALC,Jacob Burns Film Center 5,"Pleasantville, NY",Pleasantville,NY,matched,7395,177591,41,83.34,1.3,1.61,18.82,37.18,5.1,"Pleasantville village, New York",US Census ACS5 2023
REG,Regal Westbury,"Westbury, NY",Westbury,NY,matched,15789,136917,44.6,37.7,18.08,11.4,37.39,26.81,3.79,"Westbury village, New York",US Census ACS5 2023
REG,Regal Lynbrook,"Lynbrook, NY",Lynbrook,NY,matched,20251,138866,42.2,67.24,8.01,6.65,22.1,23.88,7.22,"Lynbrook village, New York",US Census ACS5 2023
REG,Regal UA Farmingdale,"Farmingdale, NY",Farmingdale,NY,matched,8450,134037,42.8,73.55,3.95,9.69,11.15,30.05,4.99,"Farmingdale village, New York",US Census ACS5 2023
CLRK,North Fork Arts Center,"Greenport, NY",Greenport,NY,matched,2574,82692,51.2,62.74,2.33,0.89,38.54,25.45,9.46,"Greenport village, New York",US Census ACS5 2023
AMC,AMC Fantasy 5,"Rockville Centre, NY",Rockville Centre,NY,matched,25770,144516,43.8,80,4.31,5.54,10.08,32.29,4.98,"Rockville Centre village, New York",US Census ACS5 2023
AMC,AMC Raceway 10,"Westbury, NY",Westbury,NY,matched,15789,136917,44.6,37.7,18.08,11.4,37.39,26.81,3.79,"Westbury village, New York",US Census ACS5 2023
CAC,Cinema Arts Center 3,"Huntington, NY",Huntington,NY,matched,20117,162066,47.2,86.82,1.13,3.62,5.86,32.83,4.83,"Huntington CDP, New York",US Census ACS5 2023
AMC,AMC Shore 8,"Huntington, NY",Huntington,NY,matched,20117,162066,47.2,86.82,1.13,3.62,5.86,32.83,4.83,"Huntington CDP, New York",US Census ACS5 2023
BRIE,Sayville Theater,"Sayville, NY",Sayville,NY,matched,15593,145278,44.6,89.92,0.67,1.26,6.33,30.17,5.54,"Sayville CDP, New York",US Census ACS5 2023
NAM,Farmingdale 14,"Farmingdale, NY",Farmingdale,NY,matched,8450,134037,42.8,73.55,3.95,9.69,11.15,30.05,4.99,"Farmingdale village, New York",US Census ACS5 2023
NAM,Island 16,"Holtsville, NY",Holtsville,NY,matched,19250,130851,39.7,79.71,5.34,3.57,15.95,18.25,3.4,"Holtsville CDP, New York",US Census ACS5 2023
CLRK,Sunset Theater,"West Hampton Beach, NY",West Hampton Beach,NY,matched,2476,137888,53.6,86.43,1.37,2.95,8.32,31.75,8.44,"Westhampton Beach village, New York",US Census ACS5 2023
AMC,AMC Palisades 21 with IMAX,"West Nyack, NY",West Nyack,NY,matched,3437,136696,52,70,6.75,6.37,23.31,30.41,2.76,"West Nyack CDP, New York",US Census ACS5 2023
REG,Regal Ronkonkoma,"Ronkonkoma, NY",Ronkonkoma,NY,matched,18368,125534,37.9,74.08,5.15,6.79,22.78,18.96,3.2,"Ronkonkoma CDP, New York",US Census ACS5 2023
AMC,"AMC Stony Brook 17 with IMAX, Dolby","Stony Brook, NY",Stony Brook,NY,matched,12827,162054,45.4,80.09,3.2,11.25,7.3,23.98,4.35,"Stony Brook CDP, New York",US Census ACS5 2023
CSI,Southampton Playhouse,"Southampton, NY",Southampton,NY,matched,4557,177045,57.5,81.54,7.81,3.71,9.9,30.72,5.22,"Southampton village, New York",US Census ACS5 2023
AMC,AMC Crystal Run 16,"Middletown, NY",Middletown,NY,matched,30227,77174,35.7,33.99,24.86,3.24,42.34,10.48,15.51,"Middletown city, New York",US Census ACS5 2023
REG,Regal UA East Hampton,"East Hampton, NY",East Hampton,NY,matched,1277,114375,57.9,80.66,3.29,0.31,16.68,36.12,6.92,"East Hampton village, New York",US Census ACS5 2023
AMC,"AMC Huntington 12 with Dolby, Prime","East Northport, NY",East Northport,NY,matched,19672,153380,45.3,86.45,2.55,3.79,7.8,27.49,4.92,"East Northport CDP, New York",US Census ACS5 2023
NTC,Moviehouse 3,"Millerton, NY",Millerton,NY,matched,801,80897,35.3,49.81,0.87,8.49,35.96,13.62,2,"Millerton village, New York",US Census ACS5 2023
UPNY,Upstate Films Orpheum Theatre,"Saugerties, NY",Saugerties,NY,matched,3877,45213,44.8,83.83,0.67,0.59,7.12,12.38,16.41,"Saugerties village, New York",US Census ACS5 2023
NTC,Sag Harbor Cinema,"Sag Harbor, NY",Sag Harbor,NY,matched,2449,154583,50.5,88.24,3.39,0.33,6.74,28.04,3.72,"Sag Harbor village, New York",US Census ACS5 2023
BRIE,Hyde Park Roosevelt Cinemas 7,"Hyde Park, NY",Hyde Park,NY,matched,2100,86346,44.1,85.38,7.43,0.62,6.81,18.03,11.4,"Hyde Park CDP, New York",US Census ACS5 2023
BRIE,Lyceum 7,"Red Hook, NY",Red Hook,NY,matched,2119,104022,44.9,89,2.41,1.42,3.78,19.6,8.03,"Red Hook village, New York",US Census ACS5 2023
NTC,Rosendale Theater,"Rosendale, NY",Rosendale,NY,matched,898,61375,59.9,86.19,5.23,2.34,1.56,28.78,11.78,"Rosendale CDP, New York",US Census ACS5 2023
FLSH,Monroe Theater,"Monroe, NY",Monroe,NY,matched,9466,110806,32.8,59.61,10.65,4.01,29.19,26.59,9.33,"Monroe village, New York",US Census ACS5 2023
BRIE,New Paltz Cinema,"New Paltz, NY",New Paltz,NY,matched,8028,59375,21.6,71.08,8.12,6.37,12.73,33.93,36.37,"New Paltz village, New York",US Census ACS5 2023
INDRP,Callicoon,"Callicoon, NY",Callicoon,NY,matched,169,88819,58.4,81.07,11.83,4.73,0,26.43,0,"Callicoon CDP, New York",US Census ACS5 2023
REG,Regal Galleria Mall,"Poughkeepsie, NY",Poughkeepsie,NY,matched,31778,60050,37.9,38.14,32.24,1.44,24.66,16.63,18.04,"Poughkeepsie city, New York",US Census ACS5 2023
REG,Regal Deer Park,"Deer Park, NY",Deer Park,NY,matched,27334,138950,41.5,58.7,11.85,10.36,22.49,20.99,4.62,"Deer Park CDP, New York",US Census ACS5 2023
UPNY,Upstate Films Starr Cinema,"Rhinebeck, NY",Rhinebeck,NY,matched,2674,75075,51.9,78.87,2.17,3.59,12.23,16.8,2.65,"Rhinebeck village, New York",US Census ACS5 2023
BRIE,Westwood Movie House,"Westwood, NJ",Westwood,NJ,matched,11221,169026,41.7,68.61,3.19,8.31,19.21,33.77,4.34,"Westwood borough, New Jersey",US Census ACS5 2023
BRIE,Hawthorne 5,"Hawthorne, NJ",Hawthorne,NJ,matched,19472,118093,42.3,73.36,3.36,1.27,23.92,28.23,5.09,"Hawthorne borough, New Jersey",US Census ACS5 2023
NCG,NCG Kingston 12,"Kingston, NY",Kingston,NY,matched,23942,65413,36.8,63.5,14.16,1.81,17.12,17.4,19.13,"Kingston city, New York",US Census ACS5 2023
SHDW,Teaneck Quad,"Teaneck, NJ",Teaneck,NJ,no-match,,,,,,,,,,,
